time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-01T21:01:50.269Z,38.1728,-118.1493,13.8,1.4,ml,13,133.38,0.132,0.0829,nn,nn00854408,2024-01-18T19:08:04.688Z,"24 km S of Mina, Nevada",earthquake,,2.3,0.22,3,reviewed,nn,nn
2023-01-01T21:01:26.750Z,38.7821667,-122.7538333,1.99,0.02,md,7,106,0.01474,0.01,nc,nc73827636,2023-01-06T10:18:11.432Z,"1km NNE of The Geysers, CA",earthquake,0.57,0.99,0.041,2,reviewed,nc,nc
2023-01-01T20:52:12.880Z,40.4221667,-123.9726667,23.09,2.07,md,31,50,0.02285,0.14,nc,nc73827631,2023-01-02T08:13:13.910Z,"14km SE of Rio Dell, CA",earthquake,0.27,0.43,0.154,22,reviewed,nc,nc
2023-01-01T20:46:47.630Z,37.3871667,-119.991,19.85,1.73,md,11,79,0.1845,0.12,nc,nc73827626,2023-01-02T10:03:13.540Z,"11km SSW of Mariposa, CA",earthquake,0.51,0.53,0.187,11,reviewed,nc,nc
2023-01-01T20:44:48.859Z,62.7727,-148.3982,54.6,1.3,ml,,,,0.35,ak,ak0231zpk0q,2023-01-18T21:27:01.693Z,"Central Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-01-01T20:28:16.549Z,64.9984,-147.3966,0,1.3,ml,,,,0.43,ak,ak0231zm1qt,2024-01-18T19:08:03.079Z,"11 km ENE of Fox, Alaska",explosion,,0,,,reviewed,ak,ak
2023-01-01T20:24:28.820Z,34.457,-116.4851667,6.41,1.33,ml,15,160,0.139,0.08,ci,ci40152775,2023-01-05T15:23:59.587Z,"38km N of Yucca Valley, CA",earthquake,0.24,0.62,0.125,11,reviewed,ci,ci
2023-01-01T20:21:58.213Z,61.5387,-151.2437,9.3,1.6,ml,,,,0.95,ak,ak0231zkn4g,2024-01-18T19:08:01.342Z,"38 km W of Susitna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-01-01T20:18:59.079Z,35.1225,-95.54066667,7.69,2.06,ml,71,86,0.09898057663,0.21,ok,ok2023abof,2023-01-03T16:52:13.643Z,"11 km E of Crowder, Oklahoma",earthquake,,0.7,0.17,11,reviewed,ok,ok
2023-01-01T20:18:28.100Z,17.9345,-67.1081666666667,7.82,2.43,md,6,280,0.07008,0.18,pr,pr71390268,2023-01-01T20:34:31.330Z,"7 km SW of La Parguera, Puerto Rico",earthquake,1.05,0.36,0.121875821730355,5,reviewed,pr,pr
2023-01-01T20:10:32.239Z,18.7635,145.3291,305.991,4.4,mb,71,95,5.164,0.79,us,us7000j1gz,2023-03-11T22:51:30.040Z,"Pagan region, Northern Mariana Islands",earthquake,8.59,7.069,0.065,67,reviewed,us,us
2023-01-01T20:07:58.200Z,51.8511666666667,-177.836833333333,3.22,0.84,ml,4,221,,0.04,av,av91741301,2023-01-04T03:18:02.800Z,"82 km W of Adak, Alaska",earthquake,0.68,0.99,0.160425181071345,4,reviewed,av,av
2023-01-01T19:57:03.240Z,35.7995,-117.6253333,7.06,0.9,ml,15,77,0.02782,0.11,ci,ci40152767,2023-01-25T22:59:54.026Z,"20km W of Searles Valley, CA",earthquake,0.25,0.38,0.092,7,reviewed,ci,ci
2023-01-01T19:52:13.560Z,40.4388333,-124.0176667,22.5,1.81,md,26,44,0.0164,0.08,nc,nc73827621,2023-01-02T07:25:12.086Z,"10km SE of Rio Dell, CA",earthquake,0.23,0.33,0.226,15,reviewed,nc,nc
